indicator,family,definition,formula,required_window,source_location,live_storage_status,storage_basis,d1_completed_bar_only,d0_leak_risk,candidate_set_status,notes
volume_ratio20_prior,VOLUME_LEVEL,D-1 거래량의 이전 20일 평균 대비 배수,Volume[D-1]/mean(Volume[D-21:D-2]),D-21~D-1,3048579f:run_range_predictor_stage2_v3.py:359-366,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"lag volratio20와 동일 계약"
volume_ratio5_inclusive,VOLUME_LEVEL,D-1 거래량의 당일 포함 5일 평균 대비 배수,Volume[D-1]/mean(Volume[D-5:D-1]),D-5~D-1,engine/core/indicators.py:134-137,STORED,live calc_indicators의 Volume_ratio,TRUE,LOW,INCLUDE,"분모에 D-1 포함; prior 방식과 구분"
volume_chg1_pct,VOLUME_ACCELERATION,D-1 거래량의 D-2 대비 변화율,100*(Volume[D-1]/Volume[D-2]-1),D-2~D-1,3048579f:run_range_predictor_stage2_v3.py:395,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"1일 가속"
volume_chg3_pct,VOLUME_ACCELERATION,D-1 거래량의 이전 3일 평균 대비 변화율,100*(Volume[D-1]/mean(Volume[D-4:D-2])-1),D-4~D-1,3048579f:run_range_predictor_stage2_v3.py:396,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"3일 가속"
volume_ma5_vs20_ratio,VOLUME_REGIME,최근 5일 평균 거래량의 최근 20일 평균 대비 비율,mean(Volume[D-5:D-1])/mean(Volume[D-20:D-1]),D-20~D-1,engine/core/indicators.py:134-137 derivation,STORED,Volume_MA5·Volume_MA20에서 계산,TRUE,LOW,INCLUDE,"지속적 거래량 regime"
volume_z20_prior,VOLUME_LEVEL,D-1 거래량의 이전 20일 z-score,(Volume[D-1]-mean prior20)/std prior20,D-21~D-1,frozen OHLCV derivation,STORED,Volume 원자료에서 계산,TRUE,LOW,INCLUDE,"ticker별 거래량 단위 정규화"
volume_surge_1_5,VOLUME_FLAG,당일 포함 Volume_ratio 1.5 이상 플래그,1 if volume_ratio5_inclusive>=1.5 else 0,D-5~D-1,engine/core/indicators.py:169-177,STORED,live Volume_ratio에서 계산,TRUE,LOW,INCLUDE,"기존 evaluator의 volume surge 의미"
volume_surge_2_0,VOLUME_FLAG,당일 포함 Volume_ratio 2.0 이상 플래그,1 if volume_ratio5_inclusive>=2.0 else 0,D-5~D-1,stored OHLCV derivation,STORED,live Volume_ratio에서 계산,TRUE,LOW,INCLUDE,"더 강한 급증 플래그"
flow_orderbook_optional,FLOW_ORDERBOOK,"미체결·호가 깊이·imbalance·tick/taker volume 계열",raw optional columns at D-1,D-1,3048579f:run_range_predictor_stage2_v3.py:80-86;411-416,NOT_STORED,일반 daily OHLCV에 없음,TRUE,HIGH,EXCLUDE_NOT_STORED,"buy_unfilled/sell_unfilled/depth/imbalance/trade_strength 등 전체 제외"
stock_gap_d0,D0_GAP,D0 시가와 D-1 종가의 gap,100*(Open[D0]/Close[D-1]-1),D-1~D0,3048579f:run_range_predictor_stage2_v3.py:343-356,NOT_STORED,pure D-1 feature 계약 밖,FALSE,HIGH,EXCLUDE_D0,"entry-time observable이지만 본 분석의 D-1 cutoff 위반"
market_etf_gap_d0,D0_GAP,SPY·QQQ 등 ETF의 D0 gap,100*(ETF Open[D0]/ETF Close[D-1]-1),D-1~D0,five_day_feature_spec_20260712:RP-059,NOT_STORED,동기화된 ETF D0 snapshot 미보장,FALSE,HIGH,EXCLUDE_D0,"STK/ETF gap_d0 모두 제외"
