ticker,selection_basis,selection_context,train_label,origin_rank,train_fitness,rulebook_hash,market_score_weight,sector_strength_weight,vix_sensitivity,market_adjustment_strength,use_market_entry_adjustment,market_gene_active,failed_period_label,evaluated_period_count,survived_all_5
POWI,deepest_reached,train_2_eval,train_3,42,108.698603876,23cb8dd1fe45538307f403a9d932fa87ac018c0e1acbaa675d93622cdf23894d,-1,0.17942068257,0.23147561597,0.728165745064,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,49,105.473439712,d90fee8f7f64863ab6d8000607b07080aee157005bb39b66aaa56edecf14b5d6,-0.444152399956,0.405956566217,0.23147561597,0.874938574433,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,56,98.6852283095,920c78bb688c2f4754109192e8f6bd078f6c6923f5e3945f436dc2000e48d03e,-1,0.696187873542,0.23147561597,0.541525590414,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,58,93.3175983323,c14382d9009d8e8c527134f0cee58ad1773ff05fcffed79335599f84e7ce8580,-1,0.683127999107,0.23147561597,0.298108217876,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,62,86.9839621247,fcf07cfd46d9c3b5d8c11f1088eda7fce87baf59337848e0cab3af644237c17f,-0.444152399956,0.683127999107,0.23147561597,0.728165745064,True,True,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,68,78.8475404579,36e5dc54ad9e7bdfb791707f7fe7d69a3f179ec3c9370cd36490175885a6e455,0.0545159192246,0.742973880831,0.104785288861,0.496284743409,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,80,54.3237425927,e98e6f275971d4140f02766bac4b4eb19cc7b9b33111faab4669cf3fade39dd4,0.437389918802,0.683127999107,0.23147561597,0.728165745064,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,81,52.7954195881,081eed770ae11e8daa0191e2d9716b6fc14f9d4c1f75eb6d1ec242d26dac9ecf,0.79268792371,1,0.154826089914,0.596050503846,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,85,43.4991166257,78d2f475dd8dd7b82557ed1c8e882ad9d1efa9011cb63585911129350ad25774,-0.926875889808,0.696187873542,0.104785288861,0.374083665393,False,False,train_2_eval,3,False
POWI,deepest_reached,train_2_eval,train_3,86,38.3421454593,2c6cee8b2f3b79966190121b64b01122fc4e3e4455a9a7d360b279ece12e5d87,0.028686587771,0.983563447363,0.413394697508,0.387508651812,True,True,train_2_eval,3,False
POWI,top_train_rank1,train_1,train_1,1,118.049385085,d59d1be7749d1488e232d054362d23322f4486e9a593ed495f4fc5055060aff2,-0.248057801269,-0.510873957606,-0.880768233569,0.636903773134,True,True,stress_pre_2022h1,1,False
POWI,top_train_rank1,train_2,train_2,1,104.720032543,4dc5a03cde5b77f22202c392522a984c4eb9b8435d62d3b1f37bc45aa9d5efe1,-0.65917404874,-0.899549074214,0.558127944118,0.613399329836,True,True,stress_pre_2022h1,1,False
POWI,top_train_rank1,train_3,train_3,1,113.171544578,132bb61374e702b7b91ab88aa1fe402c7ce03e7caa6e4368eeaa84d95aeda114,0.79268792371,0.822951643125,0.191326573667,0.598734207794,False,False,stress_pre_2022h1,1,False
