candidate_id,stage,ticker,evaluated_sessions,replay_should_buy_count,logged_entry_signal_count,overlap_count,additional_replay_only_count,logged_not_replayed_count,replay_to_logged_ratio,overlap_rate_vs_logged,overlap_rate_vs_replay
stage3:CRS:8695c9ce3320,stage3,CRS,1367,155,70,11,144,59,2.2142857142857144,0.15714285714285714,0.07096774193548387
stage3:COHR:10ef1bf6b0d1,stage3,COHR,1367,412,58,31,381,27,7.103448275862069,0.5344827586206896,0.07524271844660194
stage3:CLDX:99264f63b69d,stage3,CLDX,1367,10,47,2,8,45,0.2127659574468085,0.0425531914893617,0.2
stage3:DELL:47ee59ff823b,stage3,DELL,1368,904,62,50,854,12,14.580645161290322,0.8064516129032258,0.05530973451327434
stage3:BMA:0c978464f9dd,stage3,BMA,1367,102,41,10,92,31,2.4878048780487805,0.24390243902439024,0.09803921568627451
stage3:BELFB:b031f5add884,stage3,BELFB,1367,98,61,16,82,45,1.6065573770491803,0.26229508196721313,0.16326530612244897
stage3:CC:520ee91feeea,stage3,CC,1368,56,65,6,50,59,0.8615384615384616,0.09230769230769231,0.10714285714285714
stage3:CW:81ce9154b422,stage3,CW,1367,1072,52,45,1027,7,20.615384615384617,0.8653846153846154,0.04197761194029851
stage3:BIDU:926c6f7918c9,stage3,BIDU,1367,27,43,4,23,39,0.627906976744186,0.09302325581395349,0.14814814814814814
stage3:BTU:ecfcb41f1be2,stage3,BTU,1368,235,41,4,231,37,5.7317073170731705,0.0975609756097561,0.01702127659574468
stage3:ALGT:aec5dd5b1dc1,stage3,ALGT,1367,307,75,26,281,49,4.093333333333334,0.3466666666666667,0.08469055374592833
stage3:CLF:869ed9e90afb,stage3,CLF,1367,87,27,4,83,23,3.2222222222222223,0.14814814814814814,0.04597701149425287
stage3:ACLS:91f65753d85d,stage3,ACLS,1367,6,31,0,6,31,0.1935483870967742,0.0,0.0
stage3:AEIS:6e26f08a7c6d,stage3,AEIS,1368,895,67,54,841,13,13.35820895522388,0.8059701492537313,0.060335195530726256
stage3:ADPT:78c31f1ca209,stage3,ADPT,1368,191,123,16,175,107,1.5528455284552845,0.13008130081300814,0.08376963350785341
stage3:DLTR:9f4d686fbc80,stage3,DLTR,1367,813,48,35,778,13,16.9375,0.7291666666666666,0.04305043050430504
stage3:APA:692dd6626ba8,stage3,APA,1367,310,47,15,295,32,6.595744680851064,0.3191489361702128,0.04838709677419355
stage3:DBRG:5eba9682ac09,stage3,DBRG,1368,47,69,12,35,57,0.6811594202898551,0.17391304347826086,0.2553191489361702
stage3:BWXT:f195725cb792,stage3,BWXT,1367,622,55,27,595,28,11.309090909090909,0.4909090909090909,0.04340836012861737
stage3:BB:f1bdfe7f8ad9,stage3,BB,1367,62,46,7,55,39,1.3478260869565217,0.15217391304347827,0.11290322580645161
stage3:AA:9bf08eb287d2,stage3,AA,1368,10,38,1,9,37,0.2631578947368421,0.02631578947368421,0.1
stage3:ADMA:42437a3ee595,stage3,ADMA,1368,437,92,37,400,55,4.75,0.40217391304347827,0.08466819221967964
stage3:AES:2bd518bc9a7e,stage3,AES,1367,11,32,0,11,32,0.34375,0.0,0.0
stage3:ABEV:9121d29b2b80,stage3,ABEV,1367,10,34,5,5,29,0.29411764705882354,0.14705882352941177,0.5
stage3:CBRL:677767a0b6a9,stage3,CBRL,1367,754,68,50,704,18,11.088235294117647,0.7352941176470589,0.06631299734748011
stage3:AMZN:bdc7a3a74814,stage3,AMZN,1367,19,49,0,19,49,0.3877551020408163,0.0,0.0
stage3:CBRE:30fdb7f6db1e,stage3,CBRE,1367,335,56,14,321,42,5.982142857142857,0.25,0.041791044776119404
stage3:ACMR:44c1e02681c4,stage3,ACMR,1368,668,74,59,609,15,9.027027027027026,0.7972972972972973,0.08832335329341318
stage3:DDOG:6c41f43018cf,stage3,DDOG,1368,696,58,45,651,13,12.0,0.7758620689655172,0.06465517241379311
stage3:DHI:3d6a4f6f0b99,stage3,DHI,1367,10,56,3,7,53,0.17857142857142858,0.05357142857142857,0.3
stage3:BN:d264957fe5f6,stage3,BN,1367,231,57,14,217,43,4.052631578947368,0.24561403508771928,0.06060606060606061
stage3:DB:3fddd15661db,stage3,DB,1367,210,55,13,197,42,3.8181818181818183,0.23636363636363636,0.06190476190476191
stage3:C:8d6430f3dfbc,stage3,C,1367,191,65,11,180,54,2.9384615384615387,0.16923076923076924,0.05759162303664921
stage3:CIGI:2067519c6762,stage3,CIGI,1367,492,46,21,471,25,10.695652173913043,0.45652173913043476,0.042682926829268296
stage2:PLXS:c33a9dcf246c,stage2,PLXS,1367,503,61,29,474,32,8.245901639344263,0.47540983606557374,0.05765407554671968
stage2:CEF:fe84c0ad85d8,stage2,CEF,1367,516,71,41,475,30,7.267605633802817,0.5774647887323944,0.07945736434108527
stage2:POWI:6c2e3e5c874b,stage2,POWI,1367,121,52,22,99,30,2.326923076923077,0.4230769230769231,0.18181818181818182
stage2:MPC:8107accddd2c,stage2,MPC,1367,117,66,9,108,57,1.7727272727272727,0.13636363636363635,0.07692307692307693
stage2:CAT:a752666ee858,stage2,CAT,1367,169,84,15,154,69,2.011904761904762,0.17857142857142858,0.08875739644970414
