Date,Open,High,Low,Close,Volume,source_path,source_mtime_utc,source_sha256
2026-06-02,486.350006104,495.579986572,482.350006104,487.25,429300,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-03,483.329986572,491.640014648,480,487.049987793,649700,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-04,481.420013428,495.519989014,477.829986572,492.619995117,602000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-05,486.290008545,500.160003662,480.700012207,483.600006104,614700,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-08,487.570007324,501.790008545,483.869995117,499.089996338,525500,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-09,505,525,499,523.770019531,1062500,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-10,523.909973145,537.409973145,515.16998291,523.049987793,795800,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-11,532.799987793,563.859985352,529.83001709,562.450012207,756600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-12,573.41998291,574.520019531,558.08001709,561.489990234,779500,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-15,569.099975586,573.799987793,553.809997559,563.599975586,694600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-16,563.599975586,570,556.109985352,561.590026855,947000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-17,561.590026855,585.5,561.530029297,575.469970703,772100,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-18,586.010009766,593.179992676,574.679992676,586.469970703,1130200,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-22,590.200012207,597.520019531,581.820007324,587.770019531,1351000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-23,570,594.359985352,564.789978027,578.119995117,1165000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-24,582.130004883,590.719970703,574.070007324,580.950012207,1004200,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-25,588.450012207,605.109985352,583.299987793,599.239990234,875600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-26,591.58001709,594.659973145,572.219970703,591.780029297,3133100,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-29,581.289978027,608.520019531,580.349975586,607.030029297,844300,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-30,610.739990234,624.5,603.890014648,616.840026855,854800,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-07-01,616.239990234,617.590026855,600,610.159973145,600400,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-07-02,616.119995117,618.760009766,582.33001709,597.239990234,668400,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-07-06,604.599975586,625.989990234,599.340026855,619.25,798700,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
