date,av_sentiment_avg,av_sentiment_std,av_bullish_ratio,av_bearish_ratio,news_count,candidates_count,negation_filtered,gpt_interpreted,gpt_calls_new,active_events_count,event_adjustment,conflicts_count,conflict_penalty,sanity_corrections,active_events,has_war,has_rate_hike,has_rate_cut,has_rate_event,has_geopolitical,has_tariff,has_export_ban,has_earnings_shock,has_oil_surge,has_banking_crisis,has_inflation,has_fed_statement
2020-06-13,0.2142,0.2091,0.471,0.0,17,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0.2194,0.2494,0.75,0.125,8,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0.2103,0.3162,0.578,0.141,64,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0.1256,0.3517,0.57,0.19,79,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0.1313,0.382,0.556,0.21,81,1,0,1,1,1,-4.2,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-18,0.2283,0.2885,0.659,0.125,88,1,0,1,1,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-19,0.2075,0.255,0.618,0.118,68,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0.1591,0.225,0.5,0.0,4,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0.2177,0.1927,0.636,0.0,11,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0.2458,0.2303,0.676,0.081,74,1,0,1,1,1,-2.9,0,0,0,은행위기,0,0,0,0,0,0,0,0,0,1,0,0
2020-06-23,0.1846,0.3021,0.566,0.158,76,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,0.2312,0.2618,0.611,0.097,72,2,0,2,2,2,-5.0,0,0,1,"관세,은행위기",0,0,0,0,0,1,0,0,0,1,0,0
2020-06-25,0.2703,0.2905,0.719,0.094,64,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0.1988,0.2392,0.544,0.088,57,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,0.2091,0.272,0.636,0.091,11,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0.0033,0.3629,0.3,0.3,20,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0.2147,0.2775,0.662,0.108,65,1,0,1,1,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-06-30,0.2236,0.2882,0.62,0.089,79,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0.226,0.299,0.65,0.106,160,1,0,1,1,1,6.0,0,0,0,금리정책_인하,0,0,1,1,0,0,0,0,0,0,0,0
2020-07-02,0.207,0.2972,0.578,0.119,135,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0.1781,0.3093,0.532,0.145,62,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0.1167,0.332,0.571,0.19,21,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0.0582,0.321,0.4,0.333,30,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0.1507,0.3004,0.552,0.179,134,1,0,1,1,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-07-07,0.1994,0.296,0.607,0.123,163,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,0.2229,0.2493,0.66,0.102,147,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,0.2036,0.2971,0.632,0.14,114,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,0.1788,0.2766,0.566,0.121,99,1,0,1,1,1,4.2,0,0,0,금리정책_인하,0,0,1,1,0,0,0,0,0,0,0,0
2020-07-11,0.1917,0.2629,0.538,0.077,26,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0.2007,0.2384,0.68,0.08,25,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,0.2088,0.2623,0.625,0.105,152,1,0,1,1,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-14,0.2315,0.2891,0.677,0.118,161,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,0.2,0.3113,0.586,0.138,152,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,0.2419,0.2997,0.654,0.092,130,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,0.1288,0.2668,0.443,0.151,106,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,0.1009,0.3053,0.45,0.15,20,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0.0572,0.3325,0.381,0.286,21,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,0.2084,0.3012,0.634,0.127,142,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,0.1443,0.2973,0.506,0.135,178,3,0,3,3,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-22,0.1876,0.2965,0.604,0.115,139,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-23,0.1935,0.2757,0.618,0.107,178,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,0.1247,0.2959,0.504,0.168,125,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,0.0277,0.2541,0.294,0.294,17,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0.2075,0.3188,0.581,0.129,31,2,0,2,2,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-27,0.167,0.311,0.572,0.164,159,1,0,1,1,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-07-28,0.2327,0.2787,0.63,0.11,173,2,0,2,2,1,-6.1,0,0,0,실적쇼크,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-29,0.1535,0.3073,0.516,0.191,157,2,0,2,2,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-07-30,0.1974,0.3148,0.603,0.146,199,4,0,4,4,3,-7.0,1,-2,0,"금리정책_인하,금리정책_인상,관세",0,1,1,1,0,1,0,0,0,0,0,0
2020-07-31,0.1271,0.3035,0.527,0.192,146,2,0,2,2,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-08-01,0.063,0.2697,0.422,0.222,45,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,0.1667,0.3025,0.576,0.182,33,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,0.2645,0.2412,0.731,0.05,242,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-04,0.1862,0.2916,0.623,0.134,239,3,0,3,3,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,0.2035,0.2923,0.629,0.11,237,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,0.1665,0.3075,0.544,0.17,241,1,0,1,1,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-08-07,0.1359,0.3355,0.54,0.205,161,2,0,2,2,1,-6.0,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-08-08,0.0614,0.322,0.412,0.294,34,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0.0502,0.2859,0.25,0.25,40,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,0.1914,0.3067,0.623,0.127,236,2,0,2,2,1,-2.9,0,0,0,은행위기,0,0,0,0,0,0,0,0,0,1,0,0
2020-08-11,0.2018,0.2793,0.593,0.124,209,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,0.1779,0.2855,0.565,0.13,184,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,0.2223,0.2975,0.662,0.114,228,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-14,0.1758,0.299,0.543,0.132,151,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,0.0342,0.2949,0.36,0.24,50,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,0.1786,0.2901,0.571,0.114,35,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,0.197,0.2716,0.576,0.103,203,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,0.1694,0.3034,0.583,0.151,218,3,0,3,3,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-08-19,0.1898,0.3107,0.628,0.147,218,1,0,1,1,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-08-20,0.2037,0.2955,0.637,0.105,171,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,0.1138,0.3165,0.479,0.2,140,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,0.1912,0.2441,0.583,0.111,36,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0.1192,0.2876,0.516,0.161,31,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,0.2128,0.2458,0.652,0.073,178,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,0.1974,0.3073,0.635,0.137,211,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-26,0.2017,0.2938,0.617,0.15,193,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-27,0.2049,0.2925,0.575,0.11,228,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,0.1764,0.3003,0.568,0.136,169,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,0.1314,0.2915,0.528,0.139,36,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,0.1855,0.3368,0.625,0.125,24,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,0.2137,0.2548,0.613,0.105,191,1,0,1,1,1,2.5,0,0,0,금리정책_인하,0,0,1,1,0,0,0,0,0,0,0,0
2020-09-01,0.2151,0.3016,0.632,0.117,239,2,0,2,2,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-09-02,0.2001,0.2845,0.549,0.113,204,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,0.2057,0.2703,0.644,0.093,205,1,0,1,1,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-09-04,0.1922,0.2784,0.59,0.149,134,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-05,0.2246,0.2669,0.688,0.094,32,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-06,0.216,0.3194,0.676,0.118,34,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,0.1304,0.3222,0.451,0.155,71,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-08,0.1996,0.2951,0.643,0.136,213,1,0,1,1,1,-2.5,0,0,0,수출규제,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-09,0.2184,0.252,0.653,0.099,242,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-10,0.2335,0.2895,0.645,0.127,197,1,0,1,1,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-11,0.175,0.2736,0.571,0.095,147,2,0,2,2,2,-8.9,0,0,0,"수출규제,금리정책_인상",0,1,0,1,0,0,1,0,0,0,0,0
2020-09-12,0.1143,0.3704,0.621,0.207,29,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,0.2789,0.2718,0.625,0.083,24,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,0.2112,0.259,0.646,0.071,212,2,0,2,2,1,-2.9,0,0,0,수출규제,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-15,0.2151,0.2709,0.643,0.099,272,1,0,1,1,1,-2.5,0,0,0,금리정책_인상,0,1,0,1,0,0,0,0,0,0,0,0
2020-09-16,0.2031,0.297,0.616,0.116,224,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,0.2171,0.2793,0.625,0.101,208,2,0,2,2,1,0.8,0,0,0,금리정책_인하,0,0,1,1,0,0,0,0,0,0,0,0
2020-09-18,0.1753,0.3009,0.548,0.156,135,2,0,2,2,2,-5.0,0,0,0,"금리정책_인상,지정학_긴장",0,1,0,1,1,0,0,0,0,0,0,0
2020-09-19,0.1299,0.2052,0.462,0.038,26,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,0.1603,0.3373,0.611,0.167,36,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,0.1806,0.2772,0.587,0.111,235,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,0.2003,0.2792,0.641,0.107,206,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-23,0.1937,0.2871,0.612,0.121,224,3,0,3,3,2,-6.7,0,0,0,"관세,연준발언",0,0,0,0,0,1,0,0,0,0,0,1
2020-09-24,0.1798,0.2801,0.567,0.129,217,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,0.1739,0.2927,0.569,0.124,153,1,0,1,1,1,-2.9,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-26,0.2951,0.3369,0.818,0.121,33,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,0.1734,0.1702,0.533,0.067,15,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,0.2074,0.2948,0.632,0.13,185,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29,0.2191,0.2786,0.655,0.107,252,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,0.1901,0.3046,0.609,0.157,261,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,0.2624,0.2793,0.688,0.088,260,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,0.2389,0.2806,0.663,0.083,181,1,0,1,1,1,-2.5,0,0,0,전쟁,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,0.25,0.2333,0.633,0.067,30,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,0.1361,0.2963,0.517,0.207,29,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,0.2438,0.2916,0.705,0.098,224,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,0.2396,0.2713,0.67,0.094,224,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,0.2079,0.2951,0.622,0.148,196,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,0.2135,0.2516,0.626,0.089,235,1,0,1,1,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-10-09,0.212,0.277,0.62,0.08,150,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,0.1567,0.3077,0.531,0.094,32,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,0.1043,0.2385,0.458,0.167,24,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,0.2185,0.2522,0.677,0.093,161,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,0.2254,0.2669,0.656,0.089,224,3,0,3,3,1,-1.7,0,0,0,수출규제,0,0,0,0,0,0,1,0,0,0,0,0
2020-10-14,0.2345,0.293,0.651,0.134,209,4,0,4,4,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,0.248,0.2811,0.69,0.094,213,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,0.2026,0.2817,0.633,0.124,177,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,0.1765,0.322,0.647,0.147,34,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,0.1631,0.237,0.571,0.095,21,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,0.2079,0.2731,0.645,0.113,231,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,0.2246,0.2787,0.637,0.096,251,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,0.2144,0.275,0.634,0.107,205,1,0,1,1,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-10-22,0.2272,0.2904,0.648,0.109,256,2,0,2,2,2,-5.0,0,0,0,"수출규제,지정학_긴장",0,0,0,0,1,0,1,0,0,0,0,0
2020-10-23,0.1771,0.3011,0.573,0.152,164,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,0.1954,0.31,0.604,0.125,48,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,0.1959,0.2943,0.548,0.119,42,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,0.229,0.2588,0.693,0.093,205,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-27,0.2376,0.2486,0.653,0.065,248,1,0,1,1,1,2.5,0,0,0,금리정책_인하,0,0,1,1,0,0,0,0,0,0,0,0
2020-10-28,0.2579,0.2817,0.678,0.091,264,2,0,2,2,2,-8.9,0,0,0,"금리정책_인상,실적쇼크",0,1,0,1,0,0,0,1,0,0,0,0
2020-10-29,0.186,0.2822,0.585,0.136,265,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-30,0.1524,0.3028,0.555,0.16,200,1,0,1,1,1,-3.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-31,0.1606,0.2779,0.486,0.114,35,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,0.2399,0.2718,0.576,0.121,33,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,0.257,0.2875,0.701,0.107,234,2,0,2,2,2,-5.0,0,0,0,"관세,지정학_긴장",0,0,0,0,1,1,0,0,0,0,0,0
2020-11-03,0.1867,0.2627,0.568,0.107,206,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,0.224,0.3,0.637,0.119,168,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,0.203,0.2715,0.565,0.097,207,2,0,2,2,1,-2.5,0,0,0,실적쇼크,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-06,0.2199,0.318,0.6,0.121,165,2,0,2,2,2,-6.3,0,0,0,"금리정책_인상,실적쇼크",0,1,0,1,0,0,0,1,0,0,0,0
2020-11-07,0.1226,0.3399,0.483,0.138,29,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,0.2065,0.2801,0.476,0.048,21,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,0.2572,0.2196,0.714,0.044,227,2,0,2,2,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-10,0.2443,0.2645,0.674,0.067,270,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-11,0.2195,0.2512,0.653,0.101,199,1,0,1,1,1,-2.5,0,0,0,실적쇼크,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-12,0.2333,0.2864,0.657,0.086,245,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,0.1952,0.2634,0.601,0.116,198,1,0,1,1,1,-1.4,0,0,1,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-14,0.2566,0.3323,0.708,0.125,24,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,0.2155,0.2497,0.65,0.075,40,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,0.2588,0.2328,0.691,0.055,272,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-17,0.2463,0.2503,0.675,0.079,292,1,0,1,1,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-18,0.2452,0.2663,0.688,0.076,288,1,0,1,1,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-19,0.2367,0.2677,0.654,0.082,269,2,0,2,2,1,-2.5,0,0,0,지정학_긴장,0,0,0,0,1,0,0,0,0,0,0,0
2020-11-20,0.177,0.2596,0.548,0.117,281,3,0,3,3,3,-4.5,1,-2,0,"금리정책_인하,금리정책_인상,지정학_긴장",0,1,1,1,1,0,0,0,0,0,0,0
2020-11-21,0.2215,0.2979,0.655,0.103,29,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,0.222,0.2348,0.629,0.086,35,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,0.2126,0.255,0.634,0.094,213,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-24,0.22,0.2977,0.655,0.131,206,2,0,2,2,2,-6.1,0,0,0,"유가급등,수출규제",0,0,0,0,0,0,1,0,1,0,0,0
2020-11-25,0.1712,0.2602,0.551,0.107,178,1,0,1,1,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-26,0.1718,0.3086,0.605,0.171,76,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-27,0.1511,0.3168,0.513,0.154,78,3,0,3,3,2,-5.5,0,0,0,"수출규제,지정학_긴장",0,0,0,0,1,0,1,0,0,0,0,0
2020-11-28,0.234,0.3156,0.8,0.067,15,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,0.2309,0.2897,0.522,0.043,23,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,0.2745,0.2487,0.708,0.053,226,2,0,2,2,1,-2.5,0,0,0,관세,0,0,0,0,0,1,0,0,0,0,0,0
