C:\kingmaker_adpt_feature_nulltest_v9\data\_system\analysis\stage3_adpt_feature_nulltest_v9_20260715\run_adpt_feature_nulltest_v9.py:197: FutureWarning: The default fill_method='pad' in Series.pct_change is deprecated and will be removed in a future version. Either fill in any non-leading NA values prior to calling pct_change or specify 'fill_method=None' to not fill NA values.
  basket_ret20 = basket.pct_change(20) * 100.0
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 1, "best_hash": "311ec06147d5f64e2db5725a93921569579c66cd4ccd566881299d40316354e4", "best_fitness": -1.9985710803057608, "mean_fitness": -790000000.7793155, "best_primary_objective_pct_per_day": 1.2849384913222448, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.2849384913222448, "best_mae_penalty": 1.9893325080618873, "best_realized_loss_penalty": 0.6861192760771587, "best_total_risk_penalty": 2.675451784139046, "best_fitness_before_entry_gate": -1.9985710803057608, "best_final_fitness": -1.9985710803057608, "best_trade_count": 43, "best_trade_count_gate_pass": true, "best_win_rate_pct": 60.46511627906976, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:03.188740+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 12, "best_hash": "a70500425fe84e6dab384d6b02f457ecb619abcf62b2378b4e728564d05f0777", "best_fitness": 0.06714860542304704, "mean_fitness": -60000001.22585882, "best_primary_objective_pct_per_day": 2.2704408673066836, "best_trade_count_factor": 0.925, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.1001578022586824, "best_mae_penalty": 0.8493948777972777, "best_realized_loss_penalty": 0.17392306795245258, "best_total_risk_penalty": 1.0233179457497303, "best_fitness_before_entry_gate": 0.06714860542304704, "best_final_fitness": 0.06714860542304704, "best_trade_count": 18, "best_trade_count_gate_pass": true, "best_win_rate_pct": 94.44444444444444, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:19.669535+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 13, "best_hash": "1431aac5473bc72781c1b97d5eae95f5a7c874fe28465b8e02b2ffe7b4e0f03e", "best_fitness": 0.06714860542304704, "mean_fitness": -50000001.28334372, "best_primary_objective_pct_per_day": 2.2704408673066836, "best_trade_count_factor": 0.925, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.1001578022586824, "best_mae_penalty": 0.8493948777972777, "best_realized_loss_penalty": 0.17392306795245258, "best_total_risk_penalty": 1.0233179457497303, "best_fitness_before_entry_gate": 0.06714860542304704, "best_final_fitness": 0.06714860542304704, "best_trade_count": 18, "best_trade_count_gate_pass": true, "best_win_rate_pct": 94.44444444444444, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:26.296529+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 14, "best_hash": "6b05c972e099b7f1266096616775c820abf78c4feca1ff03fcc607243500399e", "best_fitness": 0.23185363749167376, "mean_fitness": -60000000.93098549, "best_primary_objective_pct_per_day": 1.959370238838672, "best_trade_count_factor": 0.8125, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.591988319056421, "best_mae_penalty": 0.6333574054737724, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.6333574054737724, "best_fitness_before_entry_gate": 0.23185363749167376, "best_final_fitness": 0.23185363749167376, "best_trade_count": 15, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:32.892167+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 15, "best_hash": "de0edee691d7f1bfc21921762d6fde272604bcaaacf6fdf8042f280b73e43a53", "best_fitness": 0.23185363749167376, "mean_fitness": -20000000.950741246, "best_primary_objective_pct_per_day": 1.959370238838672, "best_trade_count_factor": 0.8125, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.591988319056421, "best_mae_penalty": 0.6333574054737724, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.6333574054737724, "best_fitness_before_entry_gate": 0.23185363749167376, "best_final_fitness": 0.23185363749167376, "best_trade_count": 15, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:39.446681+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 16, "best_hash": "cf6f69f59983034eaa7eac843a3134cd87c23b3589ce935fd4983ed547b06b5d", "best_fitness": 0.23946281004763315, "mean_fitness": -30000001.116605967, "best_primary_objective_pct_per_day": 2.0100326876797707, "best_trade_count_factor": 0.6124999999999999, "best_trade_count_factor_bin": "8_11", "best_primary_after_trade_count_factor": 1.2311450212038595, "best_mae_penalty": 0.3761097005542966, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.3761097005542966, "best_fitness_before_entry_gate": 0.23946281004763315, "best_final_fitness": 0.23946281004763315, "best_trade_count": 11, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:46.103206+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 17, "best_hash": "19036372c9748c08d2d9274d7db81b33fadb263936176f1849e541f489a673a9", "best_fitness": 0.23946281004763315, "mean_fitness": -30000001.070969194, "best_primary_objective_pct_per_day": 2.0100326876797707, "best_trade_count_factor": 0.6124999999999999, "best_trade_count_factor_bin": "8_11", "best_primary_after_trade_count_factor": 1.2311450212038595, "best_mae_penalty": 0.3761097005542966, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.3761097005542966, "best_fitness_before_entry_gate": 0.23946281004763315, "best_final_fitness": 0.23946281004763315, "best_trade_count": 11, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:52.610671+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 18, "best_hash": "9db29b75414739dd246d84a7317b1a111148a55d16abf0150a94fa4462ccb866", "best_fitness": 0.280380618102266, "mean_fitness": -20000000.792995587, "best_primary_objective_pct_per_day": 2.1444213122532263, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 2.1444213122532263, "best_mae_penalty": 0.9867031433144449, "best_realized_loss_penalty": 0.3574778387751275, "best_total_risk_penalty": 1.3441809820895725, "best_fitness_before_entry_gate": 0.280380618102266, "best_final_fitness": 0.280380618102266, "best_trade_count": 20, "best_trade_count_gate_pass": true, "best_win_rate_pct": 90.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:59.009722+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 19, "best_hash": "c9a0655c0f8d5638d1470d37bbb78e3a8f0b9a6369071e18fc05003e174a81b2", "best_fitness": 0.43748986005963353, "mean_fitness": -20000000.949254856, "best_primary_objective_pct_per_day": 2.3021853214189814, "best_trade_count_factor": 0.9625, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.21585337186577, "best_mae_penalty": 0.7690837614528796, "best_realized_loss_penalty": 0.32584604753642, "best_total_risk_penalty": 1.0949298089892996, "best_fitness_before_entry_gate": 0.43748986005963353, "best_final_fitness": 0.43748986005963353, "best_trade_count": 19, "best_trade_count_gate_pass": true, "best_win_rate_pct": 94.73684210526315, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:05.505703+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 20, "best_hash": "977d9ef466546760dd70e19f04bdfb7920aec1ae4f37db7b9f545a5b0cf7da91", "best_fitness": 0.4994382191551444, "mean_fitness": -60000000.770771444, "best_primary_objective_pct_per_day": 2.1703449443561595, "best_trade_count_factor": 0.85, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.8447932027027356, "best_mae_penalty": 0.5937725676316618, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.5937725676316618, "best_fitness_before_entry_gate": 0.4994382191551444, "best_final_fitness": 0.4994382191551444, "best_trade_count": 16, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:11.882995+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 21, "best_hash": "03cc7249ed69d922796f2056d7d1f02e5343b7a909a42000f2bebd4281f458f2", "best_fitness": 0.5050328931131853, "mean_fitness": -20000000.803127, "best_primary_objective_pct_per_day": 2.4734657616480513, "best_trade_count_factor": 0.7749999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.9169359652772395, "best_mae_penalty": 0.9920018209839003, "best_realized_loss_penalty": 0.06846299087932643, "best_total_risk_penalty": 1.0604648118632267, "best_fitness_before_entry_gate": 0.5050328931131853, "best_final_fitness": 0.5050328931131853, "best_trade_count": 14, "best_trade_count_gate_pass": true, "best_win_rate_pct": 92.85714285714286, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:18.277769+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 22, "best_hash": "60f424d104120cf4584da8e70379e408c3593eb966180ba642c579e3663ef8f6", "best_fitness": 0.5050328931131853, "mean_fitness": -30000000.854193613, "best_primary_objective_pct_per_day": 2.4734657616480513, "best_trade_count_factor": 0.7749999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.9169359652772395, "best_mae_penalty": 0.9920018209839003, "best_realized_loss_penalty": 0.06846299087932643, "best_total_risk_penalty": 1.0604648118632267, "best_fitness_before_entry_gate": 0.5050328931131853, "best_final_fitness": 0.5050328931131853, "best_trade_count": 14, "best_trade_count_gate_pass": true, "best_win_rate_pct": 92.85714285714286, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:24.878036+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 23, "best_hash": "60f424d104120cf4584da8e70379e408c3593eb966180ba642c579e3663ef8f6", "best_fitness": 0.5050328931131853, "mean_fitness": -60000000.932413295, "best_primary_objective_pct_per_day": 2.4734657616480513, "best_trade_count_factor": 0.7749999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.9169359652772395, "best_mae_penalty": 0.9920018209839003, "best_realized_loss_penalty": 0.06846299087932643, "best_total_risk_penalty": 1.0604648118632267, "best_fitness_before_entry_gate": 0.5050328931131853, "best_final_fitness": 0.5050328931131853, "best_trade_count": 14, "best_trade_count_gate_pass": true, "best_win_rate_pct": 92.85714285714286, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:31.330361+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 24, "best_hash": "a612a5e932a46f4d03055d6ff99799a947ff00a13b6874906a02bdadd5fa304b", "best_fitness": 0.7281321147635891, "mean_fitness": -10000000.888462102, "best_primary_objective_pct_per_day": 2.739058584556, "best_trade_count_factor": 0.7374999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.0200557061100497, "best_mae_penalty": 0.7307970063158913, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.7307970063158913, "best_fitness_before_entry_gate": 0.7281321147635891, "best_final_fitness": 0.7281321147635891, "best_trade_count": 13, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:37.792075+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 25, "best_hash": "f4646137b7ca392d4997d1db16bc9b47e3758e75525805a62e82238b7948427d", "best_fitness": 0.7281321147635891, "mean_fitness": -30000000.827553116, "best_primary_objective_pct_per_day": 2.739058584556, "best_trade_count_factor": 0.7374999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.0200557061100497, "best_mae_penalty": 0.7307970063158913, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.7307970063158913, "best_fitness_before_entry_gate": 0.7281321147635891, "best_final_fitness": 0.7281321147635891, "best_trade_count": 13, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:44.177300+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 26, "best_hash": "f4646137b7ca392d4997d1db16bc9b47e3758e75525805a62e82238b7948427d", "best_fitness": 0.7281321147635891, "mean_fitness": -40000000.79082333, "best_primary_objective_pct_per_day": 2.739058584556, "best_trade_count_factor": 0.7374999999999999, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 2.0200557061100497, "best_mae_penalty": 0.7307970063158913, "best_realized_loss_penalty": 0.0, "best_total_risk_penalty": 0.7307970063158913, "best_fitness_before_entry_gate": 0.7281321147635891, "best_final_fitness": 0.7281321147635891, "best_trade_count": 13, "best_trade_count_gate_pass": true, "best_win_rate_pct": 100.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:06:50.511554+00:00"}
