field,backtest_full_value,live_full_revalidation_value,full_path_match,real_dashboard_live_snapshot_value,live_snapshot_note,snapshot_match,impact_if_snapshot_reconstructed
weight_macd_golden,1.167787881408684,1.167787881408684,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
macd_min_hist,0.0,0.0,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,True,MATCH
weight_rsi_zone,1.725077524288451,1.725077524288451,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
rsi_low,36.93850271203499,36.93850271203499,True,30.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
rsi_high,80.0,80.0,True,70.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
weight_bb_near_lower,0.8477763470822091,0.8477763470822091,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
bb_proximity,1.1324786725411682,1.1324786725411682,True,1.05,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
weight_volume_surge,0.08876924593819482,0.08876924593819482,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
volume_surge_ratio,1.5597496113352145,1.5597496113352145,True,1.5,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
exit_strategy,hybrid,hybrid,True,hybrid,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
stop_loss_atr,2.9488902763720244,2.9488902763720244,True,2.9488902763720244,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
stop_loss_atr_bear,1.0,1.0,True,2.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
take_profit_atr,3.7074125087814065,3.7074125087814065,True,3.7074125087814065,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
take_profit_atr_bull,4.624680318759831,4.624680318759831,True,3.5,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
trailing_atr,2.53183095624166,2.53183095624166,True,2.53183095624166,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
trailing_atr_volatile,3.9792912492513057,3.9792912492513057,True,2.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
trailing_activation_profit_pct,6.568834477074429,6.568834477074429,True,3.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
breakeven_enabled,False,False,True,False,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,True,MATCH
breakeven_trigger_profit_pct,4.0,4.0,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
breakeven_floor_profit_pct,1.27673918687813,1.27673918687813,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
sell_omen_enabled,True,True,True,True,PRESENT_IN_CANDIDATE_UNIVERSE_COMPACT,True,MATCH
sell_omen_threshold,0.6168550131605416,0.6168550131605416,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_EXIT_TRIGGER_OR_POSITION_POLICY
max_holding_days,10,10,True,10,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
position_sizing_strategy,signal_scaled,signal_scaled,True,signal_scaled,PRESENT_IN_CANDIDATE_UNIVERSE_COMPACT,True,MATCH
