active_days,champion_origin_train_label,decision_threshold,early_take_profit_count,evaluated_days,holding_over_20_sessions_count,holding_over_60_sessions_count,infinite_holding_risk_flag,max_holding_sessions,method,model_hash,near_threshold_crossing_count,one_session_trade_count_all,one_session_whipsaw_count,period_end_open_position_count,regime,signal_whipsaw_rate,survivor,target_date_exit_count,threshold_crossing_count,ticker,trade_count,two_or_less_session_cycle_count,whipsaw_rate
41,train_3,0.596,20,515,0,0,False,4,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,18,0,0,stress,0.0,False,13,70,CRS,33,29,0.5454545454545454
41,train_3,0.596,0,515,0,0,False,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,stress,0.0,False,0,70,CRS,32,32,0.0
20,train_3,0.596,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,oos,0.0,False,18,36,CRS,18,16,0.0
20,train_3,0.596,11,252,0,0,False,3,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,7,0,0,oos,0.0,False,7,36,CRS,18,16,0.3888888888888889
20,train_3,0.596,0,252,0,0,False,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,oos,0.0,False,0,36,CRS,18,18,0.0
59,train_3,0.6479999999999999,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0,0,0,train,0.0,False,48,96,ALGT,48,37,0.0
59,train_3,0.6479999999999999,34,751,0,0,False,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,25,0,0,train,0.0,False,16,96,ALGT,50,44,0.5
59,train_3,0.6479999999999999,0,751,0,0,False,2,fixed_2_sessions,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0,0,0,train,0.0,False,0,96,ALGT,48,48,0.0
37,train_3,0.6479999999999999,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,1,0,1,stress,0.0,False,26,54,ALGT,27,17,0.037037037037037035
37,train_3,0.6479999999999999,9,515,0,0,False,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,9,0,1,stress,0.0,False,18,54,ALGT,28,20,0.32142857142857145
37,train_3,0.6479999999999999,0,515,0,0,False,2,fixed_2_sessions,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0,0,0,stress,0.0,False,0,54,ALGT,26,26,0.0
22,train_3,0.6479999999999999,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0,0,0,oos,0.0,False,18,36,ALGT,18,14,0.0
22,train_3,0.6479999999999999,14,252,0,0,False,3,rolling_target_2_sessions_tp_on,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,12,0,0,oos,0.0,False,5,36,ALGT,19,18,0.631578947368421
22,train_3,0.6479999999999999,0,252,0,0,False,2,fixed_2_sessions,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0,0,0,oos,0.0,False,0,36,ALGT,18,18,0.0
51,train_3,0.516,0,751,0,0,False,6,rolling_target_2_sessions_tp_off,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0,0,0,train,0.0,False,34,75,AEIS,34,19,0.0
51,train_3,0.516,20,751,0,0,False,6,rolling_target_2_sessions_tp_on,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,10,0,0,train,0.0,False,14,75,AEIS,34,29,0.29411764705882354
51,train_3,0.516,0,751,0,0,False,2,fixed_2_sessions,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0,0,0,train,0.0,False,0,75,AEIS,35,35,0.0
31,train_3,0.516,0,515,0,0,False,7,rolling_target_2_sessions_tp_off,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,1,0,1,stress,0.0,False,21,49,AEIS,22,18,0.045454545454545456
31,train_3,0.516,12,515,0,0,False,5,rolling_target_2_sessions_tp_on,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,8,0,0,stress,0.0,False,12,49,AEIS,24,21,0.3333333333333333
31,train_3,0.516,0,515,0,0,False,2,fixed_2_sessions,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0,0,0,stress,0.0,False,0,49,AEIS,23,23,0.0
17,train_3,0.516,0,252,0,0,False,4,rolling_target_2_sessions_tp_off,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0,0,0,oos,0.0,False,11,21,AEIS,11,6,0.0
17,train_3,0.516,6,252,0,0,False,4,rolling_target_2_sessions_tp_on,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,3,0,0,oos,0.0,False,5,21,AEIS,11,6,0.2727272727272727
17,train_3,0.516,0,252,0,0,False,2,fixed_2_sessions,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0,0,0,oos,0.0,False,0,21,AEIS,11,11,0.0
38,train_2,0.45,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,1,0,1,train,0.0,False,29,59,ARKW,30,22,0.03333333333333333
38,train_2,0.45,21,751,0,0,False,3,rolling_target_2_sessions_tp_on,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,13,0,1,train,0.0,False,8,59,ARKW,30,27,0.43333333333333335
38,train_2,0.45,0,751,0,0,False,2,fixed_2_sessions,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0,0,0,train,0.0,False,0,59,ARKW,29,29,0.0
32,train_2,0.45,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0,0,0,stress,0.0,False,24,48,ARKW,24,16,0.0
32,train_2,0.45,7,515,0,0,False,3,rolling_target_2_sessions_tp_on,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,5,0,0,stress,0.0,False,17,48,ARKW,24,18,0.20833333333333334
32,train_2,0.45,0,515,0,0,False,2,fixed_2_sessions,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0,0,0,stress,0.0,False,0,48,ARKW,24,24,0.0
16,train_2,0.45,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0,0,0,oos,0.0,False,12,24,ARKW,12,8,0.0
16,train_2,0.45,1,252,0,0,False,3,rolling_target_2_sessions_tp_on,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,1,0,0,oos,0.0,False,11,24,ARKW,12,9,0.08333333333333333
16,train_2,0.45,0,252,0,0,False,2,fixed_2_sessions,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0,0,0,oos,0.0,False,0,24,ARKW,12,12,0.0
64,train_3,0.6559999999999999,0,751,0,0,False,5,rolling_target_2_sessions_tp_off,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,train,0.0,False,50,112,CBRL,50,38,0.0
64,train_3,0.6559999999999999,36,751,0,0,False,4,rolling_target_2_sessions_tp_on,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,27,0,0,train,0.0,False,17,112,CBRL,53,49,0.5094339622641509
64,train_3,0.6559999999999999,0,751,0,0,False,2,fixed_2_sessions,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,train,0.0,False,0,112,CBRL,51,51,0.0
60,train_3,0.6559999999999999,0,515,0,0,False,7,rolling_target_2_sessions_tp_off,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,stress,0.0,False,45,104,CBRL,45,37,0.0
60,train_3,0.6559999999999999,20,515,0,0,False,7,rolling_target_2_sessions_tp_on,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,16,0,0,stress,0.0,False,26,104,CBRL,46,41,0.34782608695652173
60,train_3,0.6559999999999999,0,515,0,0,False,2,fixed_2_sessions,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,stress,0.0,False,0,104,CBRL,49,49,0.0
17,train_3,0.6559999999999999,0,252,0,0,False,5,rolling_target_2_sessions_tp_off,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,oos,0.0,False,13,30,CBRL,13,10,0.0
17,train_3,0.6559999999999999,8,252,0,0,False,4,rolling_target_2_sessions_tp_on,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,6,0,0,oos,0.0,False,5,30,CBRL,13,11,0.46153846153846156
17,train_3,0.6559999999999999,0,252,0,0,False,2,fixed_2_sessions,619613f217233983a4a9b6efafea9fb7fe5da8db12ed39114d16a0a5597efc79,0,0,0,0,oos,0.0,False,0,30,CBRL,14,14,0.0
58,train_1,0.6337848605577688,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,train,0.0,False,43,86,BTU,43,28,0.0
58,train_1,0.6337848605577688,23,751,0,0,False,3,rolling_target_2_sessions_tp_on,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,16,0,0,train,0.0,False,23,86,BTU,46,37,0.34782608695652173
58,train_1,0.6337848605577688,0,751,0,0,False,2,fixed_2_sessions,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,train,0.0,False,0,86,BTU,43,43,0.0
26,train_1,0.6337848605577688,0,515,0,0,False,5,rolling_target_2_sessions_tp_off,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,stress,0.0,False,19,40,BTU,19,13,0.0
26,train_1,0.6337848605577688,15,515,0,0,False,4,rolling_target_2_sessions_tp_on,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,12,0,0,stress,0.0,False,6,40,BTU,21,19,0.5714285714285714
26,train_1,0.6337848605577688,0,515,0,0,False,2,fixed_2_sessions,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,stress,0.0,False,0,40,BTU,20,20,0.0
21,train_1,0.6337848605577688,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,oos,0.0,False,16,32,BTU,16,11,0.0
21,train_1,0.6337848605577688,11,252,0,0,False,3,rolling_target_2_sessions_tp_on,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,11,0,0,oos,0.0,False,7,32,BTU,18,17,0.6111111111111112
21,train_1,0.6337848605577688,0,252,0,0,False,2,fixed_2_sessions,c35979a2107ac141bb81776a9bc83cc57051f1b71138542fc307f18b972f35d4,0,0,0,0,oos,0.0,False,0,32,BTU,16,16,0.0
65,train_2,0.5559999999999999,0,751,0,0,False,6,rolling_target_2_sessions_tp_off,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,train,0.0,False,45,106,BB,45,29,0.0
65,train_2,0.5559999999999999,38,751,0,0,False,4,rolling_target_2_sessions_tp_on,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,28,0,0,train,0.0,False,14,106,BB,52,45,0.5384615384615384
65,train_2,0.5559999999999999,0,751,0,0,False,2,fixed_2_sessions,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,train,0.0,False,0,106,BB,47,47,0.0
34,train_2,0.5559999999999999,0,515,0,0,False,6,rolling_target_2_sessions_tp_off,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,stress,0.0,False,23,54,BB,23,15,0.0
34,train_2,0.5559999999999999,13,515,0,0,False,4,rolling_target_2_sessions_tp_on,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,10,0,0,stress,0.0,False,12,54,BB,25,20,0.4
34,train_2,0.5559999999999999,0,515,0,0,False,2,fixed_2_sessions,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,stress,0.0,False,0,54,BB,25,25,0.0
17,train_2,0.5559999999999999,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,oos,0.0,False,14,28,BB,14,11,0.0
17,train_2,0.5559999999999999,6,252,0,0,False,3,rolling_target_2_sessions_tp_on,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,5,0,0,oos,0.0,False,8,28,BB,14,12,0.35714285714285715
17,train_2,0.5559999999999999,0,252,0,0,False,2,fixed_2_sessions,04444e458ae5eb0d0a5cc8710919275263329a88d6512116aa7e3fd2f5c3f703,0,0,0,0,oos,0.0,False,0,28,BB,14,14,0.0
85,train_1,0.45,0,751,0,0,False,6,rolling_target_2_sessions_tp_off,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,train,0.0,False,62,137,BN,62,45,0.0
85,train_1,0.45,31,751,0,0,False,6,rolling_target_2_sessions_tp_on,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,21,0,0,train,0.0,False,32,137,BN,63,50,0.3333333333333333
85,train_1,0.45,0,751,0,0,False,2,fixed_2_sessions,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,train,0.0,False,0,137,BN,66,66,0.0
71,train_1,0.45,0,515,0,0,False,4,rolling_target_2_sessions_tp_off,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,stress,0.0,False,47,102,BN,47,26,0.0
71,train_1,0.45,16,515,0,0,False,4,rolling_target_2_sessions_tp_on,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,12,0,0,stress,0.0,False,33,102,BN,49,33,0.24489795918367346
71,train_1,0.45,0,515,0,0,False,2,fixed_2_sessions,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,stress,0.0,False,0,102,BN,47,47,0.0
51,train_1,0.45,0,252,0,0,False,5,rolling_target_2_sessions_tp_off,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,oos,0.0,False,31,70,BN,31,18,0.0
51,train_1,0.45,10,252,0,0,False,5,rolling_target_2_sessions_tp_on,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,5,0,0,oos,0.0,False,21,70,BN,31,20,0.16129032258064516
51,train_1,0.45,0,252,0,0,False,2,fixed_2_sessions,d320261408a56ce30d5487848e0f2e57e22041ad2b6aeccd06f7c291e893feb0,0,0,0,0,oos,0.0,False,0,70,BN,33,33,0.0
56,train_3,0.608,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0,0,0,train,0.0,False,48,96,ACMR,48,40,0.0
56,train_3,0.608,33,751,0,0,False,3,rolling_target_2_sessions_tp_on,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,23,0,0,train,0.0,False,16,96,ACMR,49,47,0.46938775510204084
56,train_3,0.608,0,751,0,0,False,2,fixed_2_sessions,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0,0,0,train,0.0,False,0,96,ACMR,48,48,0.0
32,train_3,0.608,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,1,0,1,stress,0.0,False,27,55,ACMR,28,24,0.03571428571428571
32,train_3,0.608,19,515,0,0,False,2,rolling_target_2_sessions_tp_on,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,15,0,0,stress,0.0,False,13,55,ACMR,32,32,0.46875
32,train_3,0.608,0,515,0,0,False,2,fixed_2_sessions,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0,0,0,stress,0.0,False,0,55,ACMR,27,27,0.0
18,train_3,0.608,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0,0,0,oos,0.0,False,14,27,ACMR,14,10,0.0
18,train_3,0.608,14,252,0,0,False,3,rolling_target_2_sessions_tp_on,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,10,0,0,oos,0.0,False,0,27,ACMR,14,13,0.7142857142857143
18,train_3,0.608,0,252,0,0,False,2,fixed_2_sessions,0f7c67576bd5b9ae668001160bd06fe4a9c642d90bcf39a5e1f78cec56141d62,0,0,0,0,oos,0.0,False,0,27,ACMR,14,14,0.0
39,train_3,0.45,0,751,0,0,False,4,rolling_target_2_sessions_tp_off,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,train,0.0,False,26,52,CARR,26,16,0.0
39,train_3,0.45,17,751,0,0,False,4,rolling_target_2_sessions_tp_on,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,9,0,0,train,0.0,False,11,52,CARR,28,25,0.32142857142857145
39,train_3,0.45,0,751,0,0,False,2,fixed_2_sessions,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,train,0.0,False,0,52,CARR,26,26,0.0
33,train_3,0.45,0,515,0,0,False,4,rolling_target_2_sessions_tp_off,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,stress,0.0,False,23,46,CARR,23,14,0.0
33,train_3,0.45,11,515,0,0,False,3,rolling_target_2_sessions_tp_on,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,7,0,0,stress,0.0,False,14,46,CARR,25,20,0.28
33,train_3,0.45,0,515,0,0,False,2,fixed_2_sessions,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,stress,0.0,False,0,46,CARR,23,23,0.0
14,train_3,0.45,0,252,0,0,False,4,rolling_target_2_sessions_tp_off,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,oos,0.0,False,10,20,CARR,10,7,0.0
14,train_3,0.45,4,252,0,0,False,3,rolling_target_2_sessions_tp_on,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,3,0,0,oos,0.0,False,6,20,CARR,10,8,0.3
14,train_3,0.45,0,252,0,0,False,2,fixed_2_sessions,9d77892a164712e63ed6af685d4abb236e43e4040c79a7c7faa0c820809182ce,0,0,0,0,oos,0.0,False,0,20,CARR,10,10,0.0
57,train_1,0.6377689243027888,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,train,0.0,False,45,90,CRK,45,33,0.0
57,train_1,0.6377689243027888,32,751,0,0,False,3,rolling_target_2_sessions_tp_on,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,25,0,0,train,0.0,False,15,90,CRK,47,43,0.5319148936170213
57,train_1,0.6377689243027888,0,751,0,0,False,2,fixed_2_sessions,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,train,0.0,False,0,90,CRK,45,45,0.0
34,train_1,0.6377689243027888,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,stress,0.0,False,30,60,CRK,30,26,0.0
34,train_1,0.6377689243027888,20,515,0,0,False,3,rolling_target_2_sessions_tp_on,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,19,0,0,stress,0.0,False,11,60,CRK,31,30,0.6129032258064516
34,train_1,0.6377689243027888,0,515,0,0,False,2,fixed_2_sessions,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,stress,0.0,False,0,60,CRK,30,30,0.0
17,train_1,0.6377689243027888,0,252,0,0,False,4,rolling_target_2_sessions_tp_off,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,oos,0.0,False,13,28,CRK,13,9,0.0
17,train_1,0.6377689243027888,10,252,0,0,False,3,rolling_target_2_sessions_tp_on,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,8,0,0,oos,0.0,False,4,28,CRK,14,13,0.5714285714285714
17,train_1,0.6377689243027888,0,252,0,0,False,2,fixed_2_sessions,6fcf27700f4cefc0e081603ef32fa4c77fbf9ca636e93fa092ec0489d89ce761,0,0,0,0,oos,0.0,False,0,28,CRK,13,13,0.0
55,train_1,0.6058964143426294,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,1,0,1,train,0.0,False,45,90,CLDX,46,37,0.021739130434782608
55,train_1,0.6058964143426294,32,751,0,0,False,3,rolling_target_2_sessions_tp_on,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,28,0,1,train,0.0,False,15,90,CLDX,48,46,0.5833333333333334
55,train_1,0.6058964143426294,0,751,0,0,False,2,fixed_2_sessions,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,0,0,0,train,0.0,False,0,90,CLDX,45,45,0.0
23,train_1,0.6058964143426294,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,0,0,0,stress,0.0,False,21,42,CLDX,21,19,0.0
23,train_1,0.6058964143426294,14,515,0,0,False,3,rolling_target_2_sessions_tp_on,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,11,0,0,stress,0.0,False,7,42,CLDX,21,19,0.5238095238095238
23,train_1,0.6058964143426294,0,515,0,0,False,2,fixed_2_sessions,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,0,0,0,stress,0.0,False,0,42,CLDX,21,21,0.0
9,train_1,0.6058964143426294,0,252,0,0,False,2,rolling_target_2_sessions_tp_off,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,0,0,0,oos,0.0,False,9,18,CLDX,9,9,0.0
9,train_1,0.6058964143426294,8,252,0,0,False,2,rolling_target_2_sessions_tp_on,3dd7b81a380cc1163c9227c995bbbfdd8e145a13deb6c8a51ca52f923100afab,0,8,0,0,oos,0.0,False,1,18,CLDX,9,9,0.8888888888888888
