feature_id,feature_set,feature_name_or_pattern,expanded_members,input_columns,exact_formula,normalization_or_unit,window_and_timing,source_path,source_line_or_commit,status,notes
PF-011,path_filter,close_pos5,,High;Low;Close,"clip((Close[D-1]-low5)/(high5-low5),0,1); 0.5 if high5==low5",ratio 0..1,D-5..D-1,scripts/research/run_stage2_path_filter.py,256-258;282,CONFIRMED,
PF-012,path_filter,pullback_from_high5_pct,,High;Close,"max(0,100*(high5/Close[D-1]-1))",percent >=0,D-5..D-1,scripts/research/run_stage2_path_filter.py,259;283,CONFIRMED,
PF-013,path_filter,single_up_day5_pct,,Close,"max(daily_rets_pct)",percent,D-5..D-1,scripts/research/run_stage2_path_filter.py,263;284,CONFIRMED,"Can be negative when all five days fall"
PF-014,path_filter,first3_max_up_day_pct,,Close,"max(ret[D-5],ret[D-4],ret[D-3])",percent,D-5..D-3,scripts/research/run_stage2_path_filter.py,264;285,CONFIRMED,
PF-015,path_filter,last2_ret_pct,,Close,"100*(Close[D-1]/Close[D-3]-1)",percent,D-3 to D-1,scripts/research/run_stage2_path_filter.py,265;286,CONFIRMED,"Two-close intervals covering D-2 and D-1 returns"
PF-016,path_filter,fade_after_surge_score,,Close,"max(0,first3_max_up_day_pct)+max(0,-last2_ret_pct)",percentage-point score,D-5..D-1,scripts/research/run_stage2_path_filter.py,266;287,CONFIRMED,"Adds early positive spike magnitude and recent two-day weakness"
PF-017,path_filter,signal_age_days,,Close;MA5;MACD_hist;Aligned_bull,"reverse-count consecutive rows where Aligned_bull or (Close>=MA5 and MACD_hist>=0)",integer days,up to trailing 20 rows ending D-1,scripts/research/run_stage2_path_filter.py,196-214,CONFIRMED_AUXILIARY,"Not strictly five-day; proxy is not own-rule first-signal age"
PF-018,path_filter,dist_high20_pct,,High;Close,"max(0,100*(max(High trailing20)/Close[D-1]-1))",percent >=0,trailing 20 rows ending D-1,scripts/research/run_stage2_path_filter.py,217-224,CONFIRMED_AUXILIARY,"Not strictly five-day"
PF-019,path_filter_hold3,all_path_filter_features,"PF-001..PF-018",same as base,"identical to run_stage2_path_filter.py",unchanged,D-5..D-1 plus auxiliary windows,scripts/research/run_stage2_path_filter_hold3.py,3-23;111-139,CONFIRMED,"Only max_holding_days gene range changes to 1..3; no feature formula changes"
RP-001,range_predictor_5d,STK_lag{k}_ccret,"k=1,2,3,4,5",Close,"100*(Close[D-k]/Close[D-k-1]-1)",percent,each completed day D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",358-366,CONFIRMED,
RP-002,range_predictor_5d,STK_lag{k}_intr,"k=1,2,3,4,5",Open;Close,"100*(Close[D-k]-Open[D-k])/Open[D-k]",percent,each completed day D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",332-335;358-366,CONFIRMED,
RP-003,range_predictor_5d,STK_lag{k}_range,"k=1,2,3,4,5",High;Low;Close,"100*(High[D-k]-Low[D-k])/Close[D-k]",percent,each completed day D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",332-335;358-366,CONFIRMED,
RP-004,range_predictor_5d,STK_lag{k}_gap,"k=1,2,3,4,5",Open;Close,"100*(Open[D-k]/Close[D-k-1]-1)",percent,each completed day D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",358-366,CONFIRMED,
RP-005,range_predictor_5d,STK_lag{k}_volratio20,"k=1,2,3,4,5",Volume,"Volume[D-k]/mean(Volume[D-k-20:D-k-1])",ratio,each completed day D-1..D-5 with prior 20-day baseline,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",359-366,CONFIRMED,"Needs 25 historical rows for D-5 feature baseline"
RP-006,range_predictor_5d,STAGE2_lag{k}_ma_align,"k=1..5",MA5;MA20;MA60;Aligned_bull,"1 if Aligned_bull or MA5>MA20>MA60>0 else 0",binary,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",273-325;367-369,CONFIRMED,
RP-007,range_predictor_5d,STAGE2_lag{k}_macd,"k=1..5",MACD_golden,"1 if MACD_golden else 0",binary,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",281;367-369,CONFIRMED,
RP-008,range_predictor_5d,STAGE2_lag{k}_rsi_zone,"k=1..5",RSI,"1 if 30<=RSI<=70 else 0",binary,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",282-283;367-369,CONFIRMED,
RP-009,range_predictor_5d,STAGE2_lag{k}_bb_near_lower,"k=1..5",Close;BB_lower,"1 if BB_lower>0 and Close<=1.05*BB_lower else 0",binary,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",284-287;367-369,CONFIRMED,
RP-010,range_predictor_5d,STAGE2_lag{k}_volume_surge,"k=1..5",Volume_ratio,"1 if Volume_ratio>=1.5 else 0",binary,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",288-290;367-369,CONFIRMED,
RP-011,range_predictor_5d,STAGE2_lag{k}_raw_score,"k=1..5",RP-006..RP-010,"ma_align+macd+rsi_zone+bb_near_lower+volume_surge",score 0..5,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",290;314;367-369,CONFIRMED,
RP-012,range_predictor_5d,STAGE2_lag{k}_score,"k=1..5",raw_score;market context,"raw_score*market_adjustment",score,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",292-305;315;367-369,CONFIRMED,"Only lag1 receives market_ctx; lag2..5 use default neutral context"
RP-013,range_predictor_5d,STAGE2_lag{k}_score_margin,"k=1..5",score,"score-2.0",score points,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",305-317;367-369,CONFIRMED,
RP-014,range_predictor_5d,STAGE2_lag{k}_score_ratio,"k=1..5",score,"score/2.0",ratio,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",305-317;367-369,CONFIRMED,
RP-015,range_predictor_5d,STAGE2_lag{k}_market_adjustment,"k=1..5",SPY/QQQ market features,"1+clip((market_norm*0.5+sector_norm*0.3)*0.3,-0.3,0.3)",ratio multiplier,lag1 uses D0/D-1 market map; lag2..5 neutral,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",292-305;318;367-369,CONFIRMED,"Not pure stock 5-day data"
RP-016,range_predictor_5d,STAGE2_lag{k}_market_score_proxy,"k=1..5",SPY_ret5;SPY_gap_d0,"clip(50+5*SPY_ret5+8*SPY_gap_d0,0,100)",score 0..100,lag1 market context only,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",292-320;367-369,CONFIRMED,"D0 gap component is entry-time observable, not completed D-1 candle"
RP-017,range_predictor_5d,STAGE2_lag{k}_sector_score_proxy,"k=1..5",QQQ_ret5,"clip(50+5*QQQ_ret5,0,100)",score 0..100,lag1 market context only,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",292-320;367-369,CONFIRMED,
RP-018,range_predictor_5d,STAGE2_lag{k}_vix_level_proxy,"k=1..5",SPY_vol20,"clip(12+4*SPY_vol20,8,45)",proxy level,lag1 market context only,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",296-321;367-369,CONFIRMED,
RP-019,range_predictor_5d,STAGE2_lag{k}_rsi_distance_mid,"k=1..5",RSI,"abs(RSI-50)",RSI points,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",282;322;367-369,CONFIRMED,
RP-020,range_predictor_5d,STAGE2_lag{k}_bb_position,"k=1..5",Close;BB_lower;BB_upper,"100*(Close-BB_lower)/(BB_upper-BB_lower)",percent position,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",284-286;307;323;367-369,CONFIRMED,"NaN if Bollinger span is zero"
RP-021,range_predictor_5d,STAGE2_lag{k}_volume_ratio,"k=1..5",Volume_ratio,"indicator value as of D-k",ratio,each D-1..D-5,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",288;324;367-369,CONFIRMED,
RP-022,range_predictor_D1,D1_body_pct,,Open;Close,"100*(Close[D-1]-Open[D-1])/Open[D-1]",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",371-378,CONFIRMED,
RP-023,range_predictor_D1,D1_abs_body_pct,,Open;Close,"100*abs(Close[D-1]-Open[D-1])/Open[D-1]",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",371-378,CONFIRMED,
RP-024,range_predictor_D1,D1_upper_wick_pct,,Open;High;Close,"100*(High-max(Open,Close))/Open",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-380,CONFIRMED,
RP-025,range_predictor_D1,D1_lower_wick_pct,,Open;Low;Close,"100*(min(Open,Close)-Low)/Open",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-380,CONFIRMED,
RP-026,range_predictor_D1,D1_body_to_range,,Open;High;Low;Close,"abs(Close-Open)/max(High-Low,1e-12)",ratio,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-383,CONFIRMED,
RP-027,range_predictor_D1,D1_upper_wick_to_range,,Open;High;Low;Close,"(High-max(Open,Close))/max(High-Low,1e-12)",ratio,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-383,CONFIRMED,
RP-028,range_predictor_D1,D1_lower_wick_to_range,,Open;High;Low;Close,"(min(Open,Close)-Low)/max(High-Low,1e-12)",ratio,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-383,CONFIRMED,
RP-029,range_predictor_D1,D1_close_pos_candle,,High;Low;Close,"100*(Close-Low)/max(High-Low,1e-12)",percent 0..100 normally,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-385,CONFIRMED,
RP-030,range_predictor_D1,D1_open_pos_candle,,Open;High;Low,"100*(Open-Low)/max(High-Low,1e-12)",percent 0..100 normally,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",373-385,CONFIRMED,
RP-031,range_predictor_D1,D1_is_bullish,,Open;Close,"1 if Close>Open else 0",binary,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",386,CONFIRMED,
RP-032,range_predictor_D1,D1_close_vs_prev_high_pct,,Close;High,"100*(Close[D-1]/High[D-2]-1)",percent,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",387,CONFIRMED,
RP-033,range_predictor_D1,D1_close_vs_prev_low_pct,,Close;Low,"100*(Close[D-1]/Low[D-2]-1)",percent,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",388,CONFIRMED,
RP-034,range_predictor_D1,D1_high_break_prev_high,,High,"1 if High[D-1]>High[D-2] else 0",binary,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",389,CONFIRMED,
RP-035,range_predictor_D1,D1_low_break_prev_low,,Low,"1 if Low[D-1]<Low[D-2] else 0",binary,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",390,CONFIRMED,
RP-036,range_predictor_D1,D1_inside_bar,,High;Low,"1 if High[D-1]<=High[D-2] and Low[D-1]>=Low[D-2] else 0",binary,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",391,CONFIRMED,
RP-037,range_predictor_D1,D1_outside_bar,,High;Low,"1 if High[D-1]>=High[D-2] and Low[D-1]<=Low[D-2] else 0",binary,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",392,CONFIRMED,
RP-038,range_predictor_D1,D1_volratio5,,Volume,"Volume[D-1]/mean(Volume[D-6:D-2])",ratio,D-1 versus prior five completed days excluding D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",393,CONFIRMED,"Uses slice j-5:j"
RP-039,range_predictor_D1,D1_volratio10,,Volume,"Volume[D-1]/mean(Volume[D-11:D-2])",ratio,D-1 versus prior 10 days,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",394,CONFIRMED,
RP-040,range_predictor_D1,D1_volume_chg1,,Volume,"100*(Volume[D-1]/Volume[D-2]-1)",percent,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",395,CONFIRMED,
RP-041,range_predictor_D1,D1_volume_chg3,,Volume,"100*(Volume[D-1]/mean(Volume[D-4:D-2])-1)",percent,D-4..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",396,CONFIRMED,
RP-042,range_predictor_D1,D1_range_vs_ATR,,High;Low;ATR,"(High[D-1]-Low[D-1])/ATR[D-1]",ratio,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",397-398,CONFIRMED,"NaN if ATR is zero/missing"
RP-043,range_predictor_D1,D1_range_vs_vol5,,High;Low;Close,"range_pct[D-1]/mean(range_pct[D-6:D-2])",ratio,D-1 versus prior five days,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",399,CONFIRMED,
RP-044,range_predictor_D1,D1_range_vs_vol20,,High;Low;Close,"range_pct[D-1]/mean(range_pct[D-21:D-2])",ratio,D-1 versus prior 20 days,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",400,CONFIRMED,
RP-045,range_predictor_D1,D1_close_vs_{indicator}_pct,"MA5,MA20,MA60,MA200,BB_upper,BB_middle,BB_lower",Close;named indicator,"100*(Close[D-1]/indicator[D-1]-1)",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",401-403,CONFIRMED,
RP-046,range_predictor_D1,D1_MA5_vs_MA20_pct,,MA5;MA20,"100*(MA5[D-1]/MA20[D-1]-1)",percent,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",404-405,CONFIRMED,
RP-047,range_predictor_D1,D1_{indicator},"RSI,ATR_pct,BB_width,Volume_ratio,MACD,MACD_signal,MACD_hist,Stoch_K,Stoch_D,Trend_pct,Momentum_20d,Aligned_bull,MACD_golden",named indicator,"raw indicator value at D-1",native indicator unit,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",406-408,CONFIRMED,
RP-048,range_predictor_D1,D1_{indicator}_chg1,"same members as RP-047 when D-2 available",named indicator,"indicator[D-1]-indicator[D-2]",native-unit difference,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",406-410,CONFIRMED,
RP-049,range_predictor_D1,D1_FLOW_{column},"buy_unfilled,sell_unfilled,buy_unfilled_qty,sell_unfilled_qty,bid_size,ask_size,bid_depth,ask_depth,bid_volume,ask_volume,order_imbalance,book_imbalance,bid_ask_imbalance,buy_volume,sell_volume,buy_tick_volume,sell_tick_volume,trade_strength,execution_strength,taker_buy_volume,taker_sell_volume",optional flow/orderbook columns,"raw optional value at D-1",native unit,D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",80-86;411-416,OPTIONAL,"Usually absent from ordinary daily OHLCV"
RP-050,range_predictor_D1,D1_FLOW_{column}_chg1,"same optional members",optional flow/orderbook columns,"FLOW[D-1]-FLOW[D-2]",native-unit difference,D-2..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",411-416,OPTIONAL,
RP-051,range_predictor_aggregate,STK_ret3,,Close,"100*(Close[D-1]/Close[D-4]-1)",percent,D-4..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",418-420,CONFIRMED,
RP-052,range_predictor_aggregate,STK_ret5,,Close,"100*(Close[D-1]/Close[D-6]-1)",percent,D-6..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",418-420,CONFIRMED,
RP-053,range_predictor_aggregate,STK_vol3,,High;Low;Close,"mean(100*(High-Low)/Close over D-3..D-1)",percent mean,D-3..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",418-420,CONFIRMED,
RP-054,range_predictor_aggregate,STK_vol5,,High;Low;Close,"mean(100*(High-Low)/Close over D-5..D-1)",percent mean,D-5..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",418-420,CONFIRMED,
RP-055,range_predictor_aggregate,STK_range_pos5,,High;Low;Close,"100*(Close[D-1]-min(Low[D-5:D-1]))/(max(High[D-5:D-1])-min(Low[D-5:D-1])); 50 if zero range",percent 0..100 normally,D-5..D-1,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",421-424,CONFIRMED,
RP-056,range_predictor_normalization,quantile_spec,"all numeric feature members",all feature columns,"train-only percentiles at q=[0,.02,.05,.10,.20,.33333,.50,.66667,.80,.90,.95,.98,1]",per-feature empirical quantile mapping,rolling train only,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",451-463,CONFIRMED,"Features with <50 finite values or no variation are dropped"
RP-057,range_predictor_normalization,GA_rule_band,,feature value;quantile_spec,"feature passes rule when value lies in interpolated q_low..q_high band; band width clipped to 0.10..0.70 quantile units",quantile band,train-derived and frozen for evaluation,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",474-485,CONFIRMED,
RP-058,range_predictor_noncompleted,STK_gap_d0,,Open[D0];Close[D-1],"100*(Open[D0]/Close[D-1]-1)",percent,entry-day open,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",343-356,EXCLUDE_FROM_PURE_5D,"Not a completed D-5..D-1 feature"
RP-059,range_predictor_noncompleted,MKT_{ETF}_gap_d0,"SPY,QQQ,IWM,DIA,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLU,XLRE,XLC,SMH,ARKK",ETF Open[D0];Close[D-1],"100*(Open[D0]/Close[D-1]-1)",percent,entry-day open,"3048579f:scripts/research/run_range_predictor_stage2_v3.py",223-245,EXCLUDE_FROM_PURE_5D,"Not completed D-1-only data"
