analysis_scope,feature,label,label_definition,label_entropy_bits,label_positive_rate,mi_entropy_fraction,mutual_information_bits,pearson_corr,sample_count,within_ticker_rank_mi_bits,within_ticker_rank_pearson_corr
50_TICKER_COMMON_DATE_INTERSECTION,pullback_from_high5_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0011578407671119508,0.0008174307533262001,-0.0247978948724985,75000,0.0,-0.024340535982102667
50_TICKER_COMMON_DATE_INTERSECTION,fade_after_surge_score,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.017130831814237274,0.012094295824412309,0.00055494012404846,75000,0.004997834885076479,-0.007681162577598332
50_TICKER_COMMON_DATE_INTERSECTION,inv_close_pos5,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0009260215435515382,0.0006537673481904915,-0.022058319515104924,75000,0.000974104912899199,-0.020644569673347456
50_TICKER_COMMON_DATE_INTERSECTION,inv_ret_d1_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0,0.0,-0.018285087344715893,75000,0.0,-0.007649806426545534
50_TICKER_COMMON_DATE_INTERSECTION,single_up_day5_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.09552508755601502,0.06744031347007717,0.016799036612680354,75000,0.020100904051660037,0.002137467628444663
50_TICKER_COMMON_DATE_INTERSECTION,atr14_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.003703485430998382,0.0026146452705624094,-0.029517815910256887,75000,0.0024817527548067425,-0.05387810673030583
50_TICKER_COMMON_DATE_INTERSECTION,realized_vol20_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.004672428417309086,0.0032987149783562744,-0.016714210368359284,75000,0.00016261644975788122,-0.04295710177026615
50_TICKER_COMMON_DATE_INTERSECTION,bb_width20_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0,0.0,-0.0037224157479568798,75000,0.0001945229192643894,-0.024406523287239874
50_TICKER_COMMON_DATE_INTERSECTION,true_range_d1_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0016816550436582057,0.001187241448235704,0.01997303876683277,75000,0.0,0.01285843771192306
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_atr14,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.005312315215658843,0.0037504723896307364,0.06027838451642235,75000,0.0022036203649595664,0.0602300352330082
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_range20,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.003792918042392745,0.0026777843212682953,0.04594006097101754,75000,0.0002479384100284404,0.046879014066819887
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio5_prior,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0,0.0,0.016267294428435858,75000,0.0025058696331841956,0.05224620413401764
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio20_prior,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0057350075731286716,0.004048891431355825,0.025267091611411233,75000,0.003354726149518282,0.057996684575524426
50_TICKER_COMMON_DATE_INTERSECTION,volume_chg1_pct,L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",0.7059958299491828,0.19217333333333333,0.0,0.0,0.011021715562599893,75000,0.000366361748032791,0.02177788737295156
50_TICKER_COMMON_DATE_INTERSECTION,pullback_from_high5_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0014561900509544715,0.001371040980884481,0.014152100564534524,75000,0.0,0.026255612261492155
50_TICKER_COMMON_DATE_INTERSECTION,fade_after_surge_score,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.017019027506321477,0.016023859077098242,-0.02272050795640264,75000,0.010585617270535409,-0.01633942275302803
50_TICKER_COMMON_DATE_INTERSECTION,inv_close_pos5,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0019088841096050865,0.0017972642652738355,0.034038241710301266,75000,0.00506333184300259,0.03618244851932961
50_TICKER_COMMON_DATE_INTERSECTION,inv_ret_d1_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0014940508356657447,0.0014066878989317348,0.020558920375634667,75000,0.0,0.023648250199585212
50_TICKER_COMMON_DATE_INTERSECTION,single_up_day5_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.09884141769978141,0.09306177733208396,-0.04414650049028015,75000,0.02885527289902301,-0.05763138130546735
50_TICKER_COMMON_DATE_INTERSECTION,atr14_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0014009153545081771,0.0013189984099411167,-0.02157149982123694,75000,0.0025723610098811914,-0.04010337312622527
50_TICKER_COMMON_DATE_INTERSECTION,realized_vol20_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.010972961745022016,0.01033133018883209,-0.08203175127540561,75000,0.011198912087990396,-0.13014729800239958
50_TICKER_COMMON_DATE_INTERSECTION,bb_width20_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.004206051899365201,0.00396010776064353,-0.054005621576432954,75000,0.003480307576138615,-0.06745911666185557
50_TICKER_COMMON_DATE_INTERSECTION,true_range_d1_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0,0.0,0.008567636151228688,75000,0.0009550894256661427,0.015874578476293814
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_atr14,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0043555335416267495,0.004100848632548377,0.04866976068457993,75000,0.002233796109502615,0.05641871547785192
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_range20,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0032976255955833493,0.0031048006599103755,0.054354114054799306,75000,0.005593707607459049,0.06590845185609531
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio5_prior,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0008011284346937235,0.0007542833534654283,0.007487214133669301,75000,0.001983596544115809,0.052074803357399085
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio20_prior,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.005842274490631213,0.0055006540821929,0.01077457866449297,75000,0.00373218113109604,0.06372838953238641
50_TICKER_COMMON_DATE_INTERSECTION,volume_chg1_pct,L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",0.9415261283963733,0.35861333333333334,0.0,0.0,0.005241637303355003,75000,0.0,0.021194557585558948
