row_type,cause_or_candidate,ticker,status,count,share_of_57,death_cause_count,death_causes,train_precision,stress_precision,oos_precision,train_passed_count,stress_passed_count,oos_passed_count,notes
ENTITY,stage2:CEF:fe84c0ad85d8,CEF,FAILED_GATE,, ,3,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;OOS_PRECISION_FAIL,0.297297,0.111111,0.142857,37,18,7,
ENTITY,stage2:CMC:4f6ee2739add,CMC,FAILED_GATE,, ,2,STRESS_MIN_PASS_FAIL;OOS_MIN_PASS_FAIL,0.555556,0.6,0.5,18,5,4,
ENTITY,stage2:FIX:cab7d458767d,FIX,FAILED_GATE,, ,2,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL,0.511111,0.3,1.0,45,20,6,
ENTITY,stage2:MPC:8107accddd2c,MPC,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.75,0.4,0.4,8,5,5,
ENTITY,stage2:PLXS:c33a9dcf246c,PLXS,FAILED_GATE,, ,3,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;OOS_MIN_PASS_FAIL,0.375,0.2,0.666667,40,20,3,
ENTITY,stage2:POWI:6c2e3e5c874b,POWI,FAILED_GATE,, ,6,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.818182,0,0,11,1,1,
ENTITY,stage3:AA:9bf08eb287d2,AA,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:AAOI:5fa4b9dea9eb,AAOI,FAILED_GATE,, ,4,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL,1.0,0.384615,1.0,15,13,2,
ENTITY,stage3:ABEV:9121d29b2b80,ABEV,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:ACLS:91f65753d85d,ACLS,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:ACMR:44c1e02681c4,ACMR,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL,0.703704,0.4,0.6,54,15,10,
ENTITY,stage3:ADMA:42437a3ee595,ADMA,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.738095,0.428571,0.166667,42,7,6,
ENTITY,stage3:ADPT:78c31f1ca209,ADPT,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,1.0,0.555556,0.6,21,9,5,
ENTITY,stage3:AEIS:6e26f08a7c6d,AEIS,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.5,0.3125,0.235294,66,16,17,
ENTITY,stage3:AES:2bd518bc9a7e,AES,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:AEVA:3c4e598fa5c7,AEVA,SURVIVOR,, ,1,SURVIVOR,0.787234,0.782609,0.882353,47,23,17,
ENTITY,stage3:ALGT:aec5dd5b1dc1,ALGT,FAILED_GATE,, ,3,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL,0.636364,0.230769,0.666667,22,13,9,
ENTITY,stage3:AMD:a01b055a1d13,AMD,FAILED_GATE,, ,5,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.875,0.333333,0,8,6,0,
ENTITY,stage3:AMSC:57bf3f342f43,AMSC,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.860465,0.285714,0.578947,43,14,19,
ENTITY,stage3:AMZN:bdc7a3a74814,AMZN,FAILED_GATE,, ,6,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_SIGNAL_COUNT_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.333333,0,0,9,4,3,
ENTITY,stage3:ANET:fe220620802b,ANET,FAILED_GATE,, ,5,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.714286,0.357143,0,14,14,1,
ENTITY,stage3:APA:692dd6626ba8,APA,FAILED_GATE,, ,3,STRESS_PRECISION_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.714286,0.685714,0.333333,28,35,9,
ENTITY,stage3:ARKW:296c057b4ef7,ARKW,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.8,0,0.428571,10,4,7,
ENTITY,stage3:AVAV:3d66945d7c65,AVAV,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.62963,0.26087,0.363636,54,23,11,
ENTITY,stage3:AVGO:e4fd3cee2402,AVGO,FAILED_GATE,, ,3,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL,0.625,0.4,1.0,8,5,1,
ENTITY,stage3:AXON:25b116de3cd4,AXON,FAILED_GATE,, ,3,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;OOS_PRECISION_FAIL,0.407407,0.333333,0.407407,108,42,27,
ENTITY,stage3:BB:f1bdfe7f8ad9,BB,FAILED_GATE,, ,2,STRESS_MIN_PASS_FAIL;OOS_PRECISION_FAIL,0.777778,1.0,0.666667,9,1,3,
ENTITY,stage3:BBIO:82c4a7aa36a9,BBIO,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,1.0,0.25,0.4,18,12,15,
ENTITY,stage3:BE:b07b2e49fef8,BE,FAILED_GATE,, ,3,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL,0.928571,0.5,0.777778,14,4,9,
ENTITY,stage3:BELFB:b031f5add884,BELFB,FAILED_GATE,, ,2,OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,1.0,1.0,0.333333,12,4,3,
ENTITY,stage3:BIDU:926c6f7918c9,BIDU,FAILED_GATE,, ,5,STRESS_SIGNAL_COUNT_FAIL;STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL,0.5,0,0.333333,8,0,3,
ENTITY,stage3:BMA:0c978464f9dd,BMA,FAILED_GATE,, ,3,TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,1.0,0.5,0.285714,9,4,7,
ENTITY,stage3:BN:d264957fe5f6,BN,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.642857,0,0,14,16,6,
ENTITY,stage3:BTU:ecfcb41f1be2,BTU,FAILED_GATE,, ,6,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.8125,0,0,16,0,1,
ENTITY,stage3:BWXT:f195725cb792,BWXT,FAILED_GATE,, ,2,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL,0.370968,0.24,0.5,62,25,8,
ENTITY,stage3:C:8d6430f3dfbc,C,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.538462,0.111111,0.125,13,9,8,
ENTITY,stage3:CAPR:a51d615a0ff1,CAPR,FAILED_GATE,, ,5,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.769231,0.545455,0,26,11,2,
ENTITY,stage3:CBRE:30fdb7f6db1e,CBRE,FAILED_GATE,, ,3,STRESS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.545455,0.666667,0.25,22,3,8,
ENTITY,stage3:CBRL:677767a0b6a9,CBRL,FAILED_GATE,, ,5,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.625,0.258065,0.416667,56,31,12,
ENTITY,stage3:CC:520ee91feeea,CC,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;OOS_SIGNAL_COUNT_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,1.0,1.0,0,8,2,1,
ENTITY,stage3:CIEN:2ed675d30868,CIEN,FAILED_GATE,, ,2,TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL,0.875,0.5,1.0,8,4,2,
ENTITY,stage3:CIGI:2067519c6762,CIGI,FAILED_GATE,, ,3,TRAIN_PRECISION_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.461538,0.521739,0,39,23,7,
ENTITY,stage3:CLDX:99264f63b69d,CLDX,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:CLF:869ed9e90afb,CLF,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.9,0.5,0.333333,10,4,3,
ENTITY,stage3:COHR:10ef1bf6b0d1,COHR,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL,0.733333,0.25,0.75,30,12,4,
ENTITY,stage3:CRS:8695c9ce3320,CRS,FAILED_GATE,, ,6,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.833333,0,0,12,1,1,
ENTITY,stage3:CSIQ:030ce2015af8,CSIQ,FAILED_GATE,, ,4,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL,0.773585,0.571429,0.636364,53,28,11,
ENTITY,stage3:CVNA:8d8594e95b89,CVNA,FAILED_GATE,, ,6,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_MIN_PASS_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.867925,0.25,0.333333,53,8,3,
ENTITY,stage3:CW:81ce9154b422,CW,FAILED_GATE,, ,3,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL,0.302632,0.025641,0.484848,76,39,33,
ENTITY,stage3:DB:3fddd15661db,DB,FAILED_GATE,, ,3,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL,0.5625,0,0.5,16,3,8,
ENTITY,stage3:DBRG:5eba9682ac09,DBRG,FAILED_GATE,, ,5,STRESS_MIN_PASS_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL;TRAIN_OOS_GAP_FAIL,0.875,0,0.058824,8,1,17,
ENTITY,stage3:DDOG:6c41f43018cf,DDOG,FAILED_GATE,, ,1,OOS_MIN_PASS_FAIL,0.755102,0.692308,0.8,49,26,10,"closest quality near-miss; minimum sample only"
ENTITY,stage3:DELL:47ee59ff823b,DELL,FAILED_GATE,, ,3,STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL,0.5,0.218182,0.566667,58,55,30,
ENTITY,stage3:DHI:3d6a4f6f0b99,DHI,INSUFFICIENT_TRAIN_SIGNALS,, ,1,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,
ENTITY,stage3:DLTR:9f4d686fbc80,DLTR,FAILED_GATE,, ,4,TRAIN_PRECISION_FAIL;STRESS_PRECISION_FAIL;TRAIN_STRESS_GAP_FAIL;OOS_PRECISION_FAIL,0.448276,0.1,0.357143,58,30,14,
