feature,family,semantic_axis,success_direction,proposed_group,group_role,safe_sum_status,boundary_requirement,data_evidence
range_vs_range20,VOLATILITY,CURRENT_RANGE_VS_HISTORY,HIGHER,G3_RANGE_EXPANSION,SUPPORT,SAFE_WITHIN_GROUP,AND_WITH_G1_G2_G4,"range_vs_atr와 r=0.9422; 둘 중 하나만 대표로 쓰는 ablation 권장"
intraday_range_d1_pct,VOLATILITY,CURRENT_INTRADAY_RANGE,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"true_range와 r=0.9338"
range_vs_range5,VOLATILITY,CURRENT_RANGE_VS_SHORT_HISTORY,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"range_vs_range20과 r=0.8900"
atr14_pct_chg1,VOLATILITY,VOLATILITY_ACCELERATION,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"OOS r=0.0347; MI는 비선형이나 group 성격 불안정"
realized_vol5_vs20,VOLATILITY,VOLATILITY_ACCELERATION,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"train/stress 양수 후 OOS r=-0.0108로 부호 전환"
bb_width20_chg1_pctpoint,VOLATILITY,DISPERSION_ACCELERATION,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"OOS r=0.0053; range group 최소 동조 r=0.0475를 유발"
volume_ratio5_prior,VOLUME,SHORT_VOLUME_LEVEL,HIGHER,G4_VOLUME_CONFIRMATION,CORE_CONFIRMATION,SAFE_WITHIN_GROUP,AND_BOUNDARY_REQUIRED,"OOS 단독 r=0.0318로 약함; volume_chg3와 r=0.9582"
volume_ratio20_prior,VOLUME,LONG_VOLUME_LEVEL,HIGHER,G4_VOLUME_CONFIRMATION,CORE_CONFIRMATION,SAFE_WITHIN_GROUP,AND_BOUNDARY_REQUIRED,"OOS 단독 r=0.0322; ratio5와 r=0.8807"
volume_chg1_pct,VOLUME,VOLUME_ACCELERATION,HIGHER,G4_VOLUME_CONFIRMATION,SUPPORT_CONFIRMATION,SAFE_WITHIN_GROUP,AND_BOUNDARY_REQUIRED,"ratio5와 r=0.8195; 단독 부호는 regime 불안정"
volume_ratio10_prior,VOLUME,MID_VOLUME_LEVEL,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"ratio20과 r=0.9555"
volume_ratio5_inclusive,VOLUME,SHORT_VOLUME_LEVEL,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"ratio5_prior와 r=0.9079"
volume_chg3_pct,VOLUME,VOLUME_ACCELERATION,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"ratio5_prior와 r=0.9582"
volume_z20_prior,VOLUME,LONG_VOLUME_LEVEL,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"ratio20과 r=0.9349"
volume_ma5_vs20_ratio,VOLUME,PERSISTENT_VOLUME_REGIME,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"OOS r=0.0018"
volume_surge_1_5,VOLUME,VOLUME_FLAG,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"Volume_ratio 파생 binary; OOS MI fraction=0.02%"
volume_surge_2_0,VOLUME,VOLUME_FLAG,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"Volume_ratio 파생 binary; OOS MI fraction=0.03%"
ret_d5_pct,PRICE_PATH,DAILY_DIRECTION,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"regime 부호 불안정; OOS MI fraction=0.40%"
ret_d4_pct,PRICE_PATH,DAILY_DIRECTION,LOWER_INVERT,,DROP_WEAK,NOT_RECOMMENDED,,"train/stress/OOS 부호 불안정"
ret_d3_pct,PRICE_PATH,DAILY_DIRECTION,LOWER_INVERT,,DROP_WEAK,NOT_RECOMMENDED,,"OOS r=-0.0006"
ret_d2_pct,PRICE_PATH,DAILY_DIRECTION,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"regime 부호 불안정"
cumulative_ret5_pct,PRICE_PATH,FIVE_DAY_DIRECTION,LOWER_INVERT,,DROP_WEAK,NOT_RECOMMENDED,,"OOS Pearson 부호 전환; single_up과 r=0.7998"
up_days5,PRICE_PATH,PATH_BREADTH,LOWER_INVERT,,DROP_WEAK,NOT_RECOMMENDED,,"OOS MI fraction=0.06%"
days_since_high5,PRICE_PATH,HIGH_RECENCY,HIGHER,,DROP_WEAK,NOT_RECOMMENDED,,"OOS MI fraction=0.03%"
